Year,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles,Region
2017,DeKalb,IN,Passenger,1,0,1,1,2,50.0,Midwest
2020,Queens,NY,Passenger,1,0,1,52,53,1.89,Northeast
2021,Loudoun,VA,Passenger,1,0,1,71,72,1.39,South
2019,Howard,MD,Passenger,0,1,1,77,78,1.28,Northeast
2017,Deschutes,OR,Passenger,1,0,1,180,181,0.55,West
2023,Sheridan,WY,Passenger,1,0,1,5,6,16.67,West
2021,Duval,FL,Passenger,0,2,2,352,354,0.56,South
2022,Spartanburg,SC,Passenger,0,1,1,45,46,2.17,South
2017,Morris,NJ,Passenger,1,0,1,21,22,4.55,Northeast
2018,Volusia,FL,Passenger,0,1,1,36,37,2.7,South
2019,Twin Falls,ID,Passenger,0,1,1,23,24,4.17,West
2017,Shoshone,ID,Passenger,0,1,1,82,83,1.2,West
2022,Wilson,TX,Passenger,0,1,1,2,3,33.33,South
2020,Lake,IL,Passenger,1,0,1,168,169,0.59,Midwest
2022,Harford,MD,Passenger,0,1,1,40,41,2.44,Northeast
2018,Utah,UT,Passenger,0,1,1,139,140,0.71,West
2017,Frederick,MD,Passenger,0,1,1,89,90,1.11,Northeast
2023,St. Tammany,LA,Passenger,1,0,1,33,34,2.94,South
2019,Gwinnett,GA,Passenger,0,1,1,77,78,1.28,South
2022,DuPage,IL,Passenger,0,1,1,42,43,2.33,Midwest
2018,Nueces,TX,Passenger,1,1,2,94,96,2.08,South
2019,Bergen,NJ,Passenger,1,0,1,27,28,3.57,Northeast
2018,Washtenaw,MI,Passenger,1,0,1,39,40,2.5,Midwest
2019,Tuolumne,CA,Passenger,0,1,1,12,13,7.69,West
2021,Jones,GA,Passenger,1,0,1,1,2,50.0,South
2019,Richland,SC,Passenger,0,1,1,164,165,0.61,South
2021,Fulton,GA,Passenger,0,2,2,85,87,2.3,South
2019,Washoe,NV,Passenger,2,0,2,112,114,1.75,West
2022,Charles,MD,Passenger,1,1,2,59,61,3.28,Northeast
2023,Palm Beach,FL,Passenger,1,0,1,35,36,2.78,South
2023,Maui,HI,Passenger,1,0,1,18,19,5.26,West
2021,St. Louis,MO,Passenger,1,0,1,74,75,1.33,Midwest
2023,Wilson,TX,Passenger,0,1,1,2,3,33.33,South
2023,San Bernardino,CA,Passenger,2,1,3,227,230,1.3,West
2023,Chesapeake,VA,Passenger,2,2,4,288,292,1.37,South
2020,Putnam,TN,Passenger,0,1,1,3,4,25.0,South
2019,El Paso,TX,Passenger,3,0,3,484,487,0.62,South
2023,Salt Lake,UT,Passenger,0,1,1,107,108,0.93,West
2021,Yavapai,AZ,Passenger,0,1,1,38,39,2.56,West
2019,Harrison,MS,Passenger,1,0,1,57,58,1.72,South
2023,Leavenworth,KS,Passenger,0,1,1,85,86,1.16,Midwest
2022,Chesapeake,VA,Passenger,2,2,4,299,303,1.32,South
2017,Nassau,NY,Passenger,1,1,2,40,42,4.76,Northeast
2023,Charleston,SC,Passenger,2,2,4,60,64,6.25,South
2018,Broward,FL,Passenger,1,1,2,137,139,1.44,South
2017,St. Lucie,FL,Passenger,1,0,1,31,32,3.12,South
2020,Dakota,MN,Passenger,0,1,1,32,33,3.03,Midwest
2020,Monroe,IL,Passenger,1,0,1,4,5,20.0,Midwest
2021,Wilson,NC,Passenger,1,0,1,0,1,100.0,South
2018,Nassau,NY,Passenger,1,0,1,39,40,2.5,Northeast
2023,Moore,NC,Passenger,0,1,1,103,104,0.96,South
2017,Riverside,CA,Passenger,1,1,2,885,887,0.23,West
2023,Stafford,VA,Passenger,3,1,4,68,72,5.56,South
2019,Nassau,NY,Passenger,3,0,3,43,46,6.52,Northeast
2021,New York,NY,Passenger,1,0,1,52,53,1.89,Northeast
2020,Lee,FL,Passenger,1,0,1,51,52,1.92,South
2021,Juneau,AK,Passenger,0,1,1,24,25,4.0,West
2021,New York,NY,Passenger,1,0,1,53,54,1.85,Northeast
2023,Washington,OR,Passenger,1,0,1,217,218,0.46,West
2021,Yamhill,OR,Passenger,1,0,1,37,38,2.63,West
2023,Solano,CA,Passenger,5,0,5,142,147,3.4,West
2021,Bartow,GA,Passenger,0,1,1,4,5,20.0,South
2018,Moore,NC,Passenger,0,1,1,196,197,0.51,South
2023,Multnomah,OR,Passenger,1,2,3,442,445,0.67,West
2018,Washoe,NV,Passenger,1,0,1,113,114,0.88,West
2023,Hillsborough,FL,Passenger,1,2,3,95,98,3.06,South
2019,Washtenaw,MI,Passenger,1,0,1,41,42,2.38,Midwest
2022,Williams,ND,Passenger,0,1,1,5,6,16.67,Midwest
2017,Fairfax,VA,Passenger,3,2,5,863,868,0.58,South
2020,Loudoun,VA,Passenger,1,0,1,90,91,1.1,South
2018,Charles,MD,Passenger,0,1,1,85,86,1.16,Northeast
2023,Hawaii,HI,Passenger,1,0,1,28,29,3.45,West
2019,Mercer,NJ,Passenger,0,1,1,19,20,5.0,Northeast
2022,Lake,FL,Passenger,1,0,1,22,23,4.35,South
2020,Ada,ID,Passenger,0,1,1,267,268,0.37,West
2022,Escambia,FL,Passenger,0,1,1,138,139,0.72,South
2023,Jefferson,NY,Passenger,2,1,3,188,191,1.57,Northeast
2018,Polk,FL,Passenger,1,0,1,66,67,1.49,South
2017,Hawaii,HI,Passenger,1,0,1,76,77,1.3,West
2022,Suffolk,MA,Passenger,0,1,1,25,26,3.85,Northeast
2022,Harrison,MS,Passenger,2,0,2,45,47,4.26,South
2022,Juneau,AK,Passenger,0,1,1,27,28,3.57,West
2020,Polk,FL,Passenger,1,0,1,64,65,1.54,South
2019,Owyhee,ID,Passenger,1,0,1,4,5,20.0,West
2020,Harnett,NC,Passenger,1,0,1,196,197,0.51,South
2020,Lee,FL,Passenger,1,0,1,45,46,2.17,South
2020,Jefferson,CO,Passenger,0,1,1,61,62,1.61,West
2020,Penobscot,ME,Passenger,0,1,1,16,17,5.88,Northeast
2019,Twin Falls,ID,Passenger,0,1,1,26,27,3.7,West
2018,New London,CT,Passenger,0,1,1,254,255,0.39,Northeast
2022,Kern,CA,Passenger,0,1,1,201,202,0.5,West
2020,Harnett,NC,Passenger,1,0,1,194,195,0.51,South
2023,Loudoun,VA,Passenger,2,0,2,56,58,3.45,South
2020,San Francisco,CA,Passenger,1,1,2,99,101,1.98,West
2020,Kent,MI,Passenger,0,1,1,25,26,3.85,Midwest
2018,Orange,CA,Passenger,3,1,4,581,585,0.68,West
2022,San Joaquin,CA,Passenger,1,0,1,84,85,1.18,West
2021,Saginaw,MI,Passenger,1,0,1,9,10,10.0,Midwest
2021,Allen,IN,Passenger,1,0,1,18,19,5.26,Midwest
2019,Santa Clara,CA,Passenger,8,1,9,367,376,2.39,West
2017,Charles,MD,Passenger,0,1,1,86,87,1.15,Northeast
2019,Jones,GA,Passenger,1,0,1,1,2,50.0,South
2020,Gwinnett,GA,Passenger,1,0,1,68,69,1.45,South
2023,Richmond,GA,Passenger,0,1,1,56,57,1.75,South
2017,Juneau,AK,Passenger,0,1,1,43,44,2.27,West
2020,Pinellas,FL,Passenger,1,1,2,116,118,1.69,South
2020,Rogers,OK,Passenger,1,0,1,4,5,20.0,South
2022,Harris,TX,Passenger,2,0,2,150,152,1.32,South
2020,Charleston,SC,Passenger,1,0,1,107,108,0.93,South
2022,St. Clair,IL,Passenger,2,0,2,119,121,1.65,Midwest
2020,Platte,MO,Passenger,1,0,1,21,22,4.55,Midwest
2022,Danville,VA,Passenger,1,0,1,0,1,100.0,South
2018,Maricopa,AZ,Passenger,3,3,6,1572,1578,0.38,West
2020,Greene,MO,Passenger,0,1,1,37,38,2.63,Midwest
2022,Ray,MO,Passenger,0,1,1,1,2,50.0,Midwest
2019,Kalamazoo,MI,Passenger,1,0,1,15,16,6.25,Midwest
2023,Escambia,FL,Passenger,0,1,1,125,126,0.79,South
2021,Plaquemines,LA,Passenger,0,1,1,17,18,5.56,South
2018,San Juan,PR,Passenger,0,1,1,4,5,20.0,
2021,Klamath,OR,Passenger,1,0,1,30,31,3.23,West
2018,DeKalb,IN,Passenger,1,0,1,1,2,50.0,Midwest
2018,Carroll,NH,Passenger,0,1,1,1,2,50.0,Northeast
2018,Clark,NV,Passenger,2,2,4,751,755,0.53,West
2019,Richland,SC,Passenger,0,1,1,166,167,0.6,South
2017,Fulton,GA,Passenger,1,0,1,109,110,0.91,South
2020,Powhatan,VA,Passenger,1,0,1,0,1,100.0,South
2020,Harnett,NC,Passenger,1,0,1,201,202,0.5,South
2019,Larimer,CO,Passenger,1,0,1,60,61,1.64,West
2019,Clackamas,OR,Passenger,1,1,2,214,216,0.93,West
2023,Platte,MO,Passenger,1,0,1,19,20,5.0,Midwest
2021,Sedgwick,KS,Passenger,1,1,2,82,84,2.38,Midwest
2022,Washington,MD,Passenger,2,0,2,14,16,12.5,Northeast
2022,Miami-Dade,FL,Passenger,1,0,1,83,84,1.19,South
2021,Collin,TX,Passenger,2,1,3,110,113,2.65,South
2023,Beaufort,SC,Passenger,1,0,1,24,25,4.0,South
2020,St. Mary's,MD,Passenger,1,0,1,218,219,0.46,Northeast
2023,Gwinnett,GA,Passenger,1,0,1,46,47,2.13,South
2020,Hampshire,MA,Passenger,1,0,1,7,8,12.5,Northeast
2021,Albemarle,VA,Passenger,1,0,1,23,24,4.17,South
2018,Ventura,CA,Passenger,0,2,2,325,327,0.61,West
2021,San Joaquin,CA,Passenger,1,1,2,100,102,1.96,West
2022,Fairfax,VA,Passenger,7,3,10,621,631,1.58,South
2023,Montgomery,AL,Passenger,0,1,1,35,36,2.78,South
2020,Ulster,NY,Passenger,1,0,1,12,13,7.69,Northeast
2023,Dorchester,SC,Passenger,1,0,1,42,43,2.33,South
2022,Berkeley,SC,Passenger,0,1,1,118,119,0.84,South
2020,Queens,NY,Passenger,1,0,1,50,51,1.96,Northeast
2023,Lincoln,OR,Passenger,0,1,1,12,13,7.69,West
2019,Ventura,CA,Passenger,0,3,3,310,313,0.96,West
2020,Contra Costa,CA,Passenger,3,2,5,330,335,1.49,West
2019,Clackamas,OR,Passenger,1,1,2,212,214,0.93,West
2023,Dallas,TX,Passenger,1,0,1,76,77,1.3,South
2022,Boone,MO,Passenger,0,1,1,9,10,10.0,Midwest
2022,Ray,MO,Passenger,0,1,1,1,2,50.0,Midwest
2023,Honolulu,HI,Passenger,2,3,5,249,254,1.97,West
2021,Orange,CA,Passenger,5,2,7,410,417,1.68,West
2021,Virginia Beach,VA,Passenger,3,0,3,636,639,0.47,South
2017,Jefferson,NY,Passenger,1,0,1,242,243,0.41,Northeast
2020,Brevard,FL,Passenger,0,1,1,86,87,1.15,South
2019,Polk,FL,Passenger,1,0,1,66,67,1.49,South
2020,Allegheny,PA,Passenger,1,1,2,68,70,2.86,Northeast
2019,Nantucket,MA,Passenger,1,0,1,4,5,20.0,Northeast
2020,Putnam,TN,Passenger,0,1,1,3,4,25.0,South
2019,Berkshire,MA,Passenger,0,1,1,4,5,20.0,Northeast
2021,Washington,OR,Passenger,1,0,1,384,385,0.26,West
2019,Collin,TX,Passenger,2,1,3,140,143,2.1,South
2019,San Francisco,CA,Passenger,2,1,3,107,110,2.73,West
2019,Howard,MD,Passenger,0,1,1,75,76,1.32,Northeast
2017,Maui,HI,Passenger,1,0,1,83,84,1.19,West
2021,Platte,MO,Passenger,1,0,1,18,19,5.26,Midwest
2020,Carson City,NV,Passenger,1,0,1,10,11,9.09,West
2020,Denton,TX,Passenger,1,0,1,90,91,1.1,South
2018,Clackamas,OR,Passenger,0,1,1,223,224,0.45,West
2020,Williamson,TX,Passenger,0,2,2,130,132,1.52,South
2022,Montgomery,MD,Passenger,4,2,6,191,197,3.05,Northeast
2020,Anne Arundel,MD,Passenger,0,1,1,421,422,0.24,Northeast
2019,Montgomery,TX,Passenger,1,0,1,58,59,1.69,South
2022,Middlesex,MA,Passenger,2,1,3,69,72,4.17,Northeast
2019,Denver,CO,Passenger,1,0,1,125,126,0.79,West
2022,Cook,IL,Passenger,2,0,2,199,201,1.0,Midwest
2020,Powhatan,VA,Passenger,1,0,1,0,1,100.0,South
2020,Putnam,TN,Passenger,0,1,1,3,4,25.0,South
2021,Charles,MD,Passenger,1,1,2,72,74,2.7,Northeast
2020,Harford,MD,Passenger,0,1,1,57,58,1.72,Northeast
2022,Harford,MD,Passenger,0,1,1,43,44,2.27,Northeast
2019,Los Angeles,CA,Passenger,7,5,12,1118,1130,1.06,West
2021,Hudson,NJ,Passenger,1,0,1,44,45,2.22,Northeast
2020,Pima,AZ,Passenger,3,1,4,370,374,1.07,West
2022,Middlesex,MA,Passenger,2,1,3,69,72,4.17,Northeast
2017,Orange,CA,Passenger,3,1,4,623,627,0.64,West
2017,Arlington,VA,Passenger,1,2,3,174,177,1.69,South
2022,Yavapai,AZ,Passenger,0,1,1,33,34,2.94,West
2023,Loudoun,VA,Passenger,2,0,2,55,57,3.51,South
2020,Hillsborough,FL,Passenger,0,1,1,166,167,0.6,South
2018,Travis,TX,Passenger,0,1,1,195,196,0.51,South
2022,Hamilton,IN,Passenger,1,0,1,18,19,5.26,Midwest
2019,Fulton,GA,Passenger,0,2,2,102,104,1.92,South
2023,Goochland,VA,Passenger,0,1,1,18,19,5.26,South
2019,Santa Cruz,CA,Passenger,1,0,1,43,44,2.27,West
2020,Kauai,HI,Passenger,1,0,1,15,16,6.25,West
2021,Placer,CA,Passenger,2,0,2,84,86,2.33,West
2017,Shelby,TN,Passenger,0,1,1,112,113,0.88,South
2021,Orange,NC,Passenger,0,1,1,11,12,8.33,South
2022,Stafford,VA,Passenger,2,1,3,89,92,3.26,South
2020,Jones,GA,Passenger,1,0,1,1,2,50.0,South
2017,Clark,NV,Passenger,1,3,4,881,885,0.45,West
2023,Plaquemines,LA,Passenger,1,1,2,12,14,14.29,South
2023,Lane,OR,Passenger,0,2,2,73,75,2.67,West
2019,Cochise,AZ,Passenger,0,1,1,110,111,0.9,West
2017,Hidalgo,TX,Passenger,0,1,1,100,101,0.99,South
2020,Chesapeake,VA,Passenger,0,2,2,407,409,0.49,South
2020,Collin,TX,Passenger,2,1,3,134,137,2.19,South
2022,District of Columbia,DC,Passenger,3,0,3,160,163,1.84,
2020,Sedgwick,KS,Passenger,1,1,2,97,99,2.02,Midwest
2017,St. Lucie,FL,Passenger,1,0,1,32,33,3.03,South
2018,Valencia,NM,Passenger,1,0,1,12,13,7.69,West
2020,Shelby,OH,Passenger,0,1,1,1,2,50.0,Midwest
2020,Fresno,CA,Passenger,1,0,1,181,182,0.55,West
2020,Sacramento,CA,Passenger,1,0,1,276,277,0.36,West
2019,New Haven,CT,Passenger,0,1,1,49,50,2.0,Northeast
2020,Boone,MO,Passenger,0,1,1,10,11,9.09,Midwest
2021,Salt Lake,UT,Passenger,0,1,1,182,183,0.55,West
2020,Greene,MO,Passenger,0,1,1,36,37,2.7,Midwest
2017,Muscogee,GA,Passenger,0,1,1,244,245,0.41,South
2018,Fresno,CA,Passenger,1,0,1,203,204,0.49,West
2020,Arapahoe,CO,Passenger,1,0,1,138,139,0.72,West
2023,Bartow,GA,Passenger,0,1,1,3,4,25.0,South
2022,Williams,ND,Passenger,0,1,1,7,8,12.5,Midwest
2022,Queens,NY,Passenger,1,0,1,43,44,2.27,Northeast
2017,Okaloosa,FL,Passenger,1,0,1,186,187,0.53,South
2023,Harnett,NC,Passenger,4,0,4,132,136,2.94,South
2020,Queens,NY,Passenger,1,0,1,51,52,1.92,Northeast
2021,Rogers,OK,Passenger,1,0,1,3,4,25.0,South
2019,Boone,MO,Passenger,0,1,1,10,11,9.09,Midwest
2020,Santa Clara,CA,Passenger,7,2,9,310,319,2.82,West
2017,Clark,NV,Passenger,2,2,4,772,776,0.52,West
2021,San Diego,CA,Passenger,17,6,23,2591,2614,0.88,West
2017,Charles,MD,Passenger,0,1,1,86,87,1.15,Northeast
2021,Queens,NY,Passenger,1,0,1,50,51,1.96,Northeast
2020,Hawaii,HI,Passenger,1,0,1,58,59,1.69,West
2022,Fresno,CA,Passenger,1,0,1,164,165,0.61,West
2018,Dallas,TX,Passenger,0,1,1,190,191,0.52,South
2017,San Mateo,CA,Passenger,0,1,1,150,151,0.66,West
2023,Arapahoe,CO,Passenger,0,1,1,72,73,1.37,West
2020,Alexandria,VA,Passenger,2,0,2,136,138,1.45,South
2020,Albemarle,VA,Passenger,1,0,1,22,23,4.35,South
2021,Broward,FL,Passenger,2,0,2,102,104,1.92,South
2020,St. Mary's,MD,Passenger,1,0,1,219,220,0.45,Northeast
2017,Prince George,VA,Passenger,0,1,1,75,76,1.32,South
2018,Latah,ID,Passenger,0,1,1,78,79,1.27,West
2023,Santa Cruz,CA,Passenger,1,0,1,16,17,5.88,West
2021,Charles,MD,Passenger,1,1,2,73,75,2.67,Northeast
2021,DuPage,IL,Passenger,1,1,2,55,57,3.51,Midwest
2017,Latah,ID,Passenger,0,1,1,79,80,1.25,West
2021,Allegheny,PA,Passenger,1,1,2,64,66,3.03,Northeast
2019,Carson City,NV,Passenger,1,0,1,14,15,6.67,West
2022,San Diego,CA,Passenger,16,8,24,2467,2491,0.96,West
2022,Maricopa,AZ,Passenger,8,2,10,848,858,1.17,West
2018,Dakota,MN,Passenger,0,2,2,39,41,4.88,Midwest
2022,Camden,NJ,Passenger,0,1,1,13,14,7.14,Northeast
2019,Sumter,FL,Passenger,0,1,1,10,11,9.09,South
2021,Alameda,CA,Passenger,5,0,5,233,238,2.1,West
2020,Williamson,TX,Passenger,0,2,2,124,126,1.59,South
2023,Solano,CA,Passenger,4,0,4,148,152,2.63,West
2018,Manassas,VA,Passenger,0,1,1,9,10,10.0,South
2017,Monterey,CA,Passenger,0,1,1,218,219,0.46,West
2018,Howard,MD,Passenger,0,1,1,88,89,1.12,Northeast
2018,Washtenaw,MI,Passenger,1,0,1,38,39,2.56,Midwest
2020,Powhatan,VA,Passenger,1,0,1,0,1,100.0,South
2017,District of Columbia,DC,Passenger,0,3,3,211,214,1.4,
2022,Middlesex,MA,Passenger,1,1,2,83,85,2.35,Northeast
2022,Yellowstone,MT,Passenger,0,1,1,22,23,4.35,West
2017,Charles,MD,Passenger,0,1,1,92,93,1.08,Northeast
2022,Richmond,GA,Passenger,0,1,1,67,68,1.47,South
2019,Jones,GA,Passenger,1,0,1,1,2,50.0,South
2019,Solano,CA,Passenger,1,0,1,219,220,0.45,West
2020,Harford,MD,Passenger,0,1,1,58,59,1.69,Northeast
2021,Sonoma,CA,Passenger,0,1,1,86,87,1.15,West
2019,Travis,TX,Passenger,2,1,3,204,207,1.45,South
2022,Boone,MO,Passenger,0,1,1,9,10,10.0,Midwest
2020,Twin Falls,ID,Passenger,0,1,1,28,29,3.45,West
2023,Jefferson,NY,Passenger,2,1,3,166,169,1.78,Northeast
2022,Dorchester,SC,Passenger,1,0,1,64,65,1.54,South
2018,Anne Arundel,MD,Passenger,0,1,1,457,458,0.22,Northeast
2022,Charleston,SC,Passenger,2,2,4,65,69,5.8,South
2018,Lumpkin,GA,Passenger,1,0,1,7,8,12.5,South
2018,Sedgwick,KS,Passenger,0,1,1,103,104,0.96,Midwest
2022,Portsmouth,VA,Passenger,0,1,1,77,78,1.28,South
2019,Bucks,PA,Passenger,1,0,1,19,20,5.0,Northeast
2020,New Haven,CT,Passenger,0,2,2,44,46,4.35,Northeast
2023,Cook,IL,Passenger,3,1,4,138,142,2.82,Midwest
2021,Ulster,NY,Passenger,1,0,1,11,12,8.33,Northeast
2018,Sumter,FL,Passenger,0,1,1,10,11,9.09,South
2018,Washtenaw,MI,Passenger,1,0,1,39,40,2.5,Midwest
2021,Fairfax,VA,Passenger,6,4,10,685,695,1.44,South
2021,Montgomery,TX,Passenger,1,0,1,49,50,2.0,South
2021,Rockingham,NH,Passenger,1,0,1,23,24,4.17,Northeast
2022,Marion,IA,Passenger,1,0,1,0,1,100.0,Midwest
2023,Maricopa,AZ,Passenger,8,4,12,690,702,1.71,West
2023,Miami-Dade,FL,Passenger,1,0,1,56,57,1.75,South
2021,Missoula,MT,Passenger,1,0,1,57,58,1.72,West
2023,Contra Costa,CA,Passenger,0,3,3,174,177,1.69,West
2019,New Haven,CT,Passenger,0,1,1,49,50,2.0,Northeast
2023,Sheridan,WY,Passenger,1,0,1,3,4,25.0,West
2017,Clackamas,OR,Passenger,1,1,2,305,307,0.65,West
2020,Calvert,MD,Passenger,0,2,2,86,88,2.27,Northeast
2021,Nueces,TX,Passenger,1,0,1,68,69,1.45,South
2022,Honolulu,HI,Passenger,3,3,6,305,311,1.93,West
2019,Richland,SC,Passenger,0,1,1,162,163,0.61,South
2018,Jefferson,CO,Passenger,0,1,1,67,68,1.47,West
2017,Maui,HI,Passenger,1,0,1,71,72,1.39,West
2019,Portsmouth,VA,Passenger,0,1,1,77,78,1.28,South
2021,Miami-Dade,FL,Passenger,1,0,1,95,96,1.04,South
2018,Manatee,FL,Passenger,1,0,1,40,41,2.44,South
2022,Essex,NJ,Passenger,2,0,2,10,12,16.67,Northeast
2017,Norfolk,VA,Passenger,1,1,2,303,305,0.66,South
2021,Rogers,OK,Passenger,1,0,1,3,4,25.0,South
2018,DeKalb,GA,Passenger,1,0,1,87,88,1.14,South
2021,Williamson,TX,Passenger,0,2,2,114,116,1.72,South
2020,Montgomery,PA,Passenger,1,0,1,25,26,3.85,Northeast
2022,Galveston,TX,Passenger,0,1,1,22,23,4.35,South
2020,Bartow,GA,Passenger,0,1,1,3,4,25.0,South
2018,Sumter,FL,Passenger,0,1,1,9,10,10.0,South
2022,Clinton,PA,Passenger,1,0,1,0,1,100.0,Northeast
2018,Bexar,TX,Passenger,1,2,3,816,819,0.37,South
2017,Hardin,KY,Passenger,0,1,1,122,123,0.81,South
2021,Boulder,CO,Passenger,1,1,2,43,45,4.44,West
2019,DeKalb,GA,Passenger,1,0,1,82,83,1.2,South
2020,Fairbanks North Star,AK,Passenger,0,1,1,100,101,0.99,West
2023,Sonoma,CA,Passenger,1,1,2,67,69,2.9,West
2022,Eagle,CO,Passenger,1,0,1,7,8,12.5,West
2020,Duval,FL,Passenger,0,2,2,364,366,0.55,South
2021,Polk,FL,Passenger,1,0,1,58,59,1.69,South
2020,Tuolumne,CA,Passenger,0,1,1,10,11,9.09,West
2020,Moore,NC,Passenger,0,1,1,160,161,0.62,South
2018,Marion,IN,Passenger,1,0,1,121,122,0.82,Midwest
2017,Riverside,CA,Passenger,1,1,2,826,828,0.24,West
2019,Penobscot,ME,Passenger,0,1,1,14,15,6.67,Northeast
2018,Sumter,FL,Passenger,0,1,1,10,11,9.09,South
2020,Wilson,TX,Passenger,0,1,1,7,8,12.5,South
2018,Morris,NJ,Passenger,1,0,1,19,20,5.0,Northeast
2023,St. Clair,IL,Passenger,1,0,1,92,93,1.08,Midwest
2023,Coryell,TX,Passenger,1,0,1,62,63,1.59,South
2021,Kauai,HI,Passenger,1,0,1,18,19,5.26,West
2020,Eagle,CO,Passenger,1,0,1,9,10,10.0,West
2020,Sacramento,CA,Passenger,1,0,1,289,290,0.34,West
2020,Penobscot,ME,Passenger,0,1,1,15,16,6.25,Northeast
2017,Cobb,GA,Passenger,0,1,1,71,72,1.39,South
2022,Houston,GA,Passenger,1,0,1,25,26,3.85,South
2020,Ramsey,MN,Passenger,1,0,1,42,43,2.33,Midwest
2020,Brevard,FL,Passenger,0,1,1,86,87,1.15,South
2020,Nassau,NY,Passenger,4,0,4,33,37,10.81,Northeast
2022,Burlington,NJ,Passenger,0,1,1,114,115,0.87,Northeast
2020,Leavenworth,KS,Passenger,0,1,1,125,126,0.79,Midwest
2020,Ada,ID,Passenger,0,1,1,256,257,0.39,West
2021,Riverside,CA,Passenger,5,1,6,553,559,1.07,West
2018,Montgomery,TX,Passenger,2,0,2,64,66,3.03,South
2021,Jefferson,NY,Passenger,0,1,1,209,210,0.48,Northeast
2018,District of Columbia,DC,Passenger,0,3,3,192,195,1.54,
2022,Sarpy,NE,Passenger,1,0,1,52,53,1.89,Midwest
2021,Howard,IN,Passenger,0,1,1,6,7,14.29,Midwest
2022,Ulster,NY,Passenger,1,0,1,13,14,7.14,Northeast
2020,Mercer,NJ,Passenger,0,1,1,15,16,6.25,Northeast
2021,Wilson,TX,Passenger,0,1,1,3,4,25.0,South
2018,Marion,OR,Passenger,1,0,1,122,123,0.81,West
2017,Riverside,CA,Passenger,1,2,3,748,751,0.4,West
2019,Clark,NV,Passenger,4,2,6,689,695,0.86,West
2023,Ventura,CA,Passenger,2,2,4,177,181,2.21,West
2017,Orange,FL,Passenger,1,1,2,146,148,1.35,South
2023,DeKalb,GA,Passenger,1,0,1,41,42,2.38,South
2021,Nassau,FL,Passenger,1,0,1,34,35,2.86,South
2022,Hudson,NJ,Passenger,2,0,2,33,35,5.71,Northeast
2021,Okaloosa,FL,Passenger,0,1,1,114,115,0.87,South
2023,Maui,HI,Passenger,1,0,1,19,20,5.0,West
2022,El Paso,TX,Passenger,3,0,3,343,346,0.87,South
2023,Escambia,FL,Passenger,0,1,1,114,115,0.87,South
2022,Sonoma,CA,Passenger,0,1,1,81,82,1.22,West
2023,Philadelphia,PA,Passenger,1,0,1,34,35,2.86,Northeast
2021,Goochland,VA,Passenger,3,2,5,205,210,2.38,South
2018,Beaufort,SC,Passenger,1,0,1,39,40,2.5,South
2023,Calvert,MD,Passenger,1,1,2,73,75,2.67,Northeast
2020,Stafford,VA,Passenger,1,1,2,95,97,2.06,South
2019,Santa Rosa,FL,Passenger,1,0,1,88,89,1.12,South
2021,Montgomery,OH,Passenger,0,1,1,55,56,1.79,Midwest
2023,St. Louis,MO,Passenger,2,0,2,52,54,3.7,Midwest
2020,St. Louis,MO,Passenger,1,0,1,100,101,0.99,Midwest
2022,Cumberland,PA,Passenger,1,0,1,37,38,2.63,Northeast
2018,Manassas,VA,Passenger,0,1,1,9,10,10.0,South
2023,San Bernardino,CA,Passenger,2,1,3,242,245,1.22,West
2017,Contra Costa,CA,Passenger,0,1,1,468,469,0.21,West
2018,Anne Arundel,MD,Passenger,0,1,1,455,456,0.22,Northeast
2018,Ventura,CA,Passenger,0,1,1,319,320,0.31,West
2022,Henrico,VA,Passenger,0,1,1,13,14,7.14,South
2020,Arlington,VA,Passenger,0,2,2,151,153,1.31,South
2018,Williamson,TX,Passenger,0,1,1,161,162,0.62,South
2018,Twin Falls,ID,Passenger,0,1,1,23,24,4.17,West
2022,Oldham,KY,Passenger,0,1,1,4,5,20.0,South
2022,Oldham,KY,Passenger,0,1,1,4,5,20.0,South
2019,Putnam,TN,Passenger,0,1,1,3,4,25.0,South
2021,Multnomah,OR,Passenger,2,6,8,627,635,1.26,West
2017,Montgomery,MD,Passenger,1,0,1,309,310,0.32,Northeast
2019,District of Columbia,DC,Passenger,1,1,2,206,208,0.96,
2019,San Diego,CA,Passenger,10,4,14,2810,2824,0.5,West
2020,Harris,TX,Passenger,1,1,2,223,225,0.89,South
2023,St. Louis,MO,Passenger,1,0,1,44,45,2.22,Midwest
2018,Nassau,NY,Passenger,2,0,2,39,41,4.88,Northeast
2023,Miami-Dade,FL,Passenger,1,0,1,48,49,2.04,South
2021,Wilson,NC,Passenger,1,0,1,0,1,100.0,South
2023,Hennepin,MN,Passenger,1,0,1,31,32,3.12,Midwest
2019,Riverside,CA,Passenger,3,2,5,649,654,0.76,West
2020,Monterey,CA,Passenger,0,1,1,166,167,0.6,West
2018,Honolulu,HI,Passenger,1,2,3,524,527,0.57,West
2021,Nueces,TX,Passenger,1,0,1,63,64,1.56,South
2018,Orange,CA,Passenger,5,1,6,564,570,1.05,West
2021,Onslow,NC,Passenger,0,1,1,179,180,0.56,South
2021,Yavapai,AZ,Passenger,0,1,1,39,40,2.5,West
